Pathway	Gene	OG_TSG
DDR	RAD51B	NA
DDR	RAD51C	NA
DDR	RAD51D	NA
DDR	RAD52	NA
DDR	RAD54B	NA
DDR	RAD54L	NA
DDR	RAD9A	NA
DDR	RBBP8	NA
DDR	RBX1	NA
DDR	RDM1	NA
DDR	RECQL	NA
DDR	RECQL4	NA
DDR	RECQL5	NA
DDR	REV1	NA
DDR	REV3L	NA
DDR	RIF1	NA
DDR	RMI1	NA
DDR	RMI2	NA
DDR	RNMT	NA
DDR	RRM2B	NA
DDR	RTEL1	NA
DDR	SETMAR	NA
DDR	SHFM1	NA
DDR	SHPRH	NA
DDR	SLX1A	NA
DDR	SLX1B	NA
DDR	SLX4	NA
DDR	SMARCAD1	NA
DDR	SMC5	NA
DDR	SMC6	NA
DDR	SMUG1	NA
DDR	SPO11	NA
DDR	STRA13	NA
DDR	SWSAP1	NA
DDR	TCEA1	NA
DDR	TCEB1	NA
DDR	TCEB2	NA
DDR	TCEB3	NA
DDR	TDG	NA
DDR	TDP1	NA
DDR	TELO2	NA
DDR	TOP3A	NA
DDR	TOP3B	NA
DDR	TOPBP1	NA
DDR	TP53	NA
DDR	TREX1	NA
DDR	TREX2	NA
DDR	TYMS	NA
DDR	UBE2B	NA
DDR	UBE2N	NA
DDR	UBE2T	NA
DDR	UBE2V2	NA
DDR	UIMC1	NA
DDR	UNG	NA
DDR	USP1	NA
DDR	UVSSA	NA
DDR	WDR48	NA
DDR	WRN	NA
DDR	XAB2	NA
DDR	XPA	NA
DDR	XPC	NA
DDR	ZSWIM7	NA
DDR	PTEN	NA
DDR	TDP2	NA
DDR	ENDOV	NA
DDR	SPRTN	NA
DDR	RNF4	NA
DDR	SMARCA4	NA
DDR	IDH1	NA
DDR	SOX4	NA
DDR	WEE1	NA
DDR	RAD9B	NA
DDR	AEN	NA
DDR	PLK3	NA
DDR	EXO5	NA
DDR	CDC5L	NA
DDR	BCAS2	NA
DDR	PLRG1	NA
DDR	YWHAB	NA
DDR	YWHAG	NA
DDR	YWHAE	NA
DDR	CDC25A	NA
DDR	CDC25B	NA
DDR	CDC25C	NA
DDR	BABAM1	NA
DDR	BRCC3	NA
DDR	TTK	NA
DDR	SMARCC1	NA
DDR	SWI5	NA
DDR	MORF4L1	NA
DDR	RNF169	NA
DDR	HERC2	NA
Base Excision Repair – Core	PARP1	NA
Base Excision Repair – Core	POLB	NA
Base Excision Repair – Core	APEX1	NA
Base Excision Repair – Core	APEX2	NA
Base Excision Repair – Core	FEN1	NA
Base Excision Repair – Core	TDG	NA
Base Excision Repair – Core	TDP1	NA
Base Excision Repair – Core	UNG	NA
Nucleotide Excision Repair – Core	CUL5	NA
Nucleotide Excision Repair – Core	ERCC1	NA
Nucleotide Excision Repair – Core	ERCC2	NA
Nucleotide Excision Repair – Core	ERCC4	NA
Nucleotide Excision Repair – Core	ERCC5	NA
Nucleotide Excision Repair – Core	ERCC6	NA
Nucleotide Excision Repair – Core	POLE	NA
Nucleotide Excision Repair – Core	POLE3	NA
Nucleotide Excision Repair – Core	XPA	NA
Nucleotide Excision Repair – Core	XPC	NA
Mismatch Repair – Core	EXO1	NA
Mismatch Repair – Core	MLH1	NA
Mismatch Repair – Core	MLH3	NA
Mismatch Repair – Core	MSH2	NA
Mismatch Repair – Core	MSH3	NA
Mismatch Repair – Core	MSH6	NA
Mismatch Repair – Core	PMS1	NA
Mismatch Repair – Core	PMS2	NA
Fanconi Anemia – Core	FANCA	NA
Fanconi Anemia – Core	FANCB	NA
Fanconi Anemia – Core	FANCC	NA
Fanconi Anemia – Core	FANCD2	NA
Fanconi Anemia – Core	FANCI	NA
Fanconi Anemia – Core	FANCL	NA
Fanconi Anemia – Core	FANCM	NA
Fanconi Anemia – Core	UBE2T	NA
Homologous Recomination – Core	MRE11A	NA
Homologous Recomination – Core	NBN	NA
Homologous Recomination – Core	RAD50	NA
Homologous Recomination – Core	TP53BP1	NA
Homologous Recomination – Core	XRCC2	NA
Homologous Recomination – Core	XRCC3	NA
Homologous Recomination – Core	BARD1	NA
Homologous Recomination – Core	BLM	NA
Homologous Recomination – Core	BRCA1	NA
Homologous Recomination – Core	BRCA2	NA
Homologous Recomination – Core	BRIP1	NA
Homologous Recomination – Core	EME1	NA
Homologous Recomination – Core	GEN1	NA
Homologous Recomination – Core	MUS81	NA
Homologous Recomination – Core	PALB2	NA
Homologous Recomination – Core	RAD51	NA
Homologous Recomination – Core	RAD52	NA
Homologous Recomination – Core	RBBP8	NA
Homologous Recomination – Core	SHFM1	NA
Homologous Recomination – Core	SLX1A	NA
Homologous Recomination – Core	TOP3A	NA
Non-homologous End Joining – Core	LIG4	NA
Non-homologous End Joining – Core	NHEJ1	NA
Non-homologous End Joining – Core	POLL	NA
Non-homologous End Joining – Core	POLM	NA
Non-homologous End Joining – Core	PRKDC	NA
Non-homologous End Joining – Core	XRCC4	NA
Non-homologous End Joining – Core	XRCC5	NA
Non-homologous End Joining – Core	XRCC6	NA
Direct Repair – Core	ALKBH2	NA
Direct Repair – Core	ALKBH3	NA
Direct Repair – Core	MGMT	NA
Translesion Synthesis – Core	POLN	NA
Translesion Synthesis – Core	POLQ	NA
Translesion Synthesis – Core	REV1	NA
Translesion Synthesis – Core	REV3L	NA
Translesion Synthesis – Core	SHPRH	NA
Damage Sensor – Core	ATM	NA
Damage Sensor – Core	ATR	NA
Damage Sensor – Core	ATRIP	NA
Damage Sensor – Core	CHEK1	NA
Damage Sensor – Core	CHEK2	NA
Damage Sensor – Core	MDC1	NA
Damage Sensor – Core	RNMT	NA
Damage Sensor – Core	TOPBP1	NA
Damage Sensor – Core	TREX1	NA
Splicing Factor Genes	AGGF1	NA
Splicing Factor Genes	C9orf78	NA
Splicing Factor Genes	CCAR1	NA
Splicing Factor Genes	CD2BP2	NA
Splicing Factor Genes	CDC5L	NA
Splicing Factor Genes	CDK11A	NA
Splicing Factor Genes	CDK12	NA
Splicing Factor Genes	CELF4	NA
Splicing Factor Genes	CFAP20	NA
Splicing Factor Genes	CLK4	NA
Splicing Factor Genes	CWC22	NA
Splicing Factor Genes	DDX17	NA
Splicing Factor Genes	DDX18	NA
Splicing Factor Genes	DDX20	NA
Splicing Factor Genes	DDX23	NA
Splicing Factor Genes	DDX26B	NA
Splicing Factor Genes	DDX27	NA
Splicing Factor Genes	DDX3X	NA
Splicing Factor Genes	DDX41	NA
Splicing Factor Genes	DDX5	NA
Splicing Factor Genes	DDX50	NA
Splicing Factor Genes	DHX16	NA
Splicing Factor Genes	DHX35	NA
Splicing Factor Genes	DHX36	NA
Splicing Factor Genes	DHX9	NA
Splicing Factor Genes	EEF1A1	NA
Splicing Factor Genes	EFTUD2	NA
Splicing Factor Genes	EIF2S2	NA
Splicing Factor Genes	ELAVL1	NA
Splicing Factor Genes	ELAVL2	NA
Splicing Factor Genes	ELAVL4	NA
Splicing Factor Genes	FAM58A	NA
Splicing Factor Genes	FRA10AC1	NA
Splicing Factor Genes	FUBP1	NA
Splicing Factor Genes	FUBP3	NA
Splicing Factor Genes	GPATCH8	NA
Splicing Factor Genes	HNRNPCL1	NA
Splicing Factor Genes	HNRNPD	NA
Splicing Factor Genes	HNRNPDL	NA
Splicing Factor Genes	HNRNPH3	NA
Splicing Factor Genes	HNRNPK	NA
Splicing Factor Genes	HNRNPL	NA
Splicing Factor Genes	IGF2BP3	NA
Splicing Factor Genes	INTS4	NA
Splicing Factor Genes	INTS7	NA
Splicing Factor Genes	KIAA1429	NA
Splicing Factor Genes	KIN	NA
Splicing Factor Genes	MBNL2	NA
Splicing Factor Genes	MOV10	NA
Splicing Factor Genes	NCBP1	NA
Splicing Factor Genes	NELFE	NA
Splicing Factor Genes	NOVA1	NA
Splicing Factor Genes	NSRP1	NA
Splicing Factor Genes	PABPC1	NA
Splicing Factor Genes	PCBP1	NA
Splicing Factor Genes	PCBP2	NA
Splicing Factor Genes	PCBP3	NA
Splicing Factor Genes	PHF5A	NA
Splicing Factor Genes	PLRG1	NA
Splicing Factor Genes	PPIG	NA
Splicing Factor Genes	PPIL1	NA
Splicing Factor Genes	PPIL4	NA
Splicing Factor Genes	PRPF3	NA
Splicing Factor Genes	PRPF38B	NA
Splicing Factor Genes	PRPF39	NA
Splicing Factor Genes	PRPF40B	NA
Splicing Factor Genes	PRPF4B	NA
Splicing Factor Genes	PSIP1	NA
Splicing Factor Genes	QKI	NA
Splicing Factor Genes	RALYL	NA
Splicing Factor Genes	RBBP6	NA
Splicing Factor Genes	RBM10	NA
Splicing Factor Genes	RBM15B	NA
Splicing Factor Genes	RBM25	NA
Splicing Factor Genes	RBM26	NA
Splicing Factor Genes	RBM27	NA
Splicing Factor Genes	RBM7	NA
Splicing Factor Genes	RBM8A	NA
Splicing Factor Genes	RBMX	NA
Splicing Factor Genes	RBMX2	NA
Splicing Factor Genes	RNF20	NA
Splicing Factor Genes	SF1	NA
Splicing Factor Genes	SF3B1	NA
Splicing Factor Genes	SF3B2	NA
Splicing Factor Genes	SF3B3	NA
Splicing Factor Genes	SKIV2L2	NA
Splicing Factor Genes	SNRNP200	NA
Splicing Factor Genes	SNRNP35	NA
Splicing Factor Genes	SNRNP48	NA
Splicing Factor Genes	SNRPD3	NA
Splicing Factor Genes	SNRPN	NA
Splicing Factor Genes	SPEN	NA
Splicing Factor Genes	SRSF2	NA
Splicing Factor Genes	SRSF5	NA
Splicing Factor Genes	SYNCRIP	NA
Splicing Factor Genes	TCERG1	NA
Splicing Factor Genes	THOC5	NA
Splicing Factor Genes	THOC6	NA
Splicing Factor Genes	THOC7	NA
Splicing Factor Genes	THRAP3	NA
Splicing Factor Genes	TIA1	NA
Splicing Factor Genes	TIAL1	NA
Splicing Factor Genes	TNPO1	NA
Splicing Factor Genes	TRIM24	NA
Splicing Factor Genes	TTC14	NA
Splicing Factor Genes	U2AF1	NA
Splicing Factor Genes	U2AF2	NA
Splicing Factor Genes	U2SURP	NA
Splicing Factor Genes	WBP11	NA
Splicing Factor Genes	WBP4	NA
Splicing Factor Genes	ZC3H13	NA
Splicing Factor Genes	ZC3H18	NA
Splicing Factor Genes	ZC3H4	NA
Splicing Factor Genes	ZCCHC8	NA
Splicing Factor Genes	ZCRB1	NA
Splicing Factor Genes	ZMYM3	NA
Splicing Factor Genes	ZNF131	NA
Splicing Factor Genes	ZNF207	NA
Splicing Factor Genes	ZRSR2	NA
MISC	AGGF1	NA
C	C9orf78	NA
A	CCAR1	NA
U5	CD2BP2	NA
Prp19	CDC5L	NA
A	CDK11A	NA
MISC	CFAP20	NA
B act	CWC22	NA
A	DDX17	NA
U5	DDX23	NA
MISC	DDX3X	NA
C	DDX41	NA
A	DDX5	NA
B act	DDX50	NA
1st step	DHX16	NA
C	DHX35	NA
MISC	DHX9	NA
U5	EFTUD2	NA
MISC	ELAVL1	NA
B act	FAM58A	NA
C2	FRA10AC1	NA
B act	FUBP3	NA
hnRNP	HNRNPCL1	NA
hnRNP	HNRNPD	NA
hnRNP	HNRNPDL	NA
hnRNP	HNRNPH3	NA
hnRNP	HNRNPK	NA
hnRNP	HNRNPL	NA
integrator complex	INTS4	NA
integrator complex	INTS7	NA
B	KIN	NA
B act	MOV10	NA
MISC	NCBP1	NA
MISC	NSRP1	NA
MISC	PABPC1	NA
hnRNP	PCBP1	NA
hnRNP	PCBP2	NA
hnRNP	PCBP3	NA
U2	PHF5A	NA
Prp19	PLRG1	NA
C	PPIG	NA
Prp19 rel	PPIL1	NA
MISC	PPIL4	NA
U4/U6	PRPF3	NA
B	PRPF4B	NA
MISC	QKI	NA
hnRNP	RALYL	NA
MISC	RBBP6	NA
A	RBM10	NA
A	RBM25	NA
MISC	RBM7	NA
EJC/TREX	RBM8A	NA
hnRNP	RBMX	NA
RES	RBMX2	NA
A	SF1	NA
U2	SF3B1	NA
U2	SF3B2	NA
U2	SF3B3	NA
U5	SNRNP200	NA
U11/U12	SNRNP35	NA
U11/U12	SNRNP48	NA
Sm	SNRPD3	NA
Sm	SNRPN	NA
SR	SRSF2	NA
SR	SRSF5	NA
hnRNP	SYNCRIP	NA
A	TCERG1	NA
EJC/TREX	THOC5	NA
EJC/TREX	THOC6	NA
EJC/TREX	THOC7	NA
B	THRAP3	NA
B act	TRIM24	NA
C2	TTC14	NA
U2 rel	U2AF1	NA
U2 rel	U2AF2	NA
U2 rel	U2SURP	NA
Prp19	WBP11	NA
B	WBP4	NA
MISC	ZC3H18	NA
U11/U12	ZCRB1	NA
MISC	ZNF207	NA
U11/U12	ZRSR2	NA
DREAM targets	BUB1B	NA
DREAM targets	CDCA3	NA
DREAM targets	PLK1	NA
DREAM targets	TTK	NA
DREAM targets	PRC1	NA
DREAM targets	AURKA	NA
DREAM targets	KIF4A	NA
DREAM targets	NUF2	NA
DREAM targets	STIL	NA
DREAM targets	CCNA2	NA
DREAM targets	CCNB1	NA
DREAM targets	KIF11	NA
DREAM targets	NEK2	NA
DREAM targets	TPX2	NA
DREAM targets	CDKN3	NA
DREAM targets	CENPF	NA
DREAM targets	KIF18A	NA
DREAM targets	RACGAP1	NA
DREAM targets	CEP55	NA
DREAM targets	FBXO5	NA
DREAM targets	BIRC5	NA
DREAM targets	BUB1	NA
DREAM targets	CCNB2	NA
DREAM targets	DEPDC1	NA
DREAM targets	GTSE1	NA
DREAM targets	KIF2C	NA
DREAM targets	ANP32E	NA
DREAM targets	ASPM	NA
DREAM targets	AURKB	NA
DREAM targets	CDC20	NA
DREAM targets	CDC25A	NA
DREAM targets	CDCA2	NA
DREAM targets	DTL	NA
DREAM targets	KIF14	NA
DREAM targets	SGOL2	NA
DREAM targets	ATAD2	NA
DREAM targets	KIF20A	NA
DREAM targets	LMNB1	NA
DREAM targets	MAD2L1	NA
DREAM targets	NDC80	NA
DREAM targets	CENPL	NA
DREAM targets	DLGAP5	NA
DREAM targets	NCAPH	NA
DREAM targets	SGOL1	NA
DREAM targets	TMPO	NA
DREAM targets	MCM7	NA
DREAM targets	RFC3	NA
DREAM targets	SMC4	NA
DREAM targets	SPC25	NA
DREAM targets	TICRR	NA
DREAM targets	HAUS6	NA
DREAM targets	CDC25C	NA
DREAM targets	CDCA8	NA
DREAM targets	ESPL1	NA
DREAM targets	HMMR	NA
DREAM targets	ARHGAP11A	NA
DREAM targets	CIT	NA
DREAM targets	DEPDC1B	NA
DREAM targets	EXO1	NA
DREAM targets	FAM64A	NA
DREAM targets	CDCA7	NA
DREAM targets	CKAP2L	NA
DREAM targets	NUSAP1	NA
DREAM targets	CHEK1	NA
DREAM targets	HJURP	NA
DREAM targets	INCENP	NA
DREAM targets	PLK4	NA
DREAM targets	WDHD1	NA
DREAM targets	CCDC150	NA
DREAM targets	SKA3	NA
DREAM targets	CENPE	NA
DREAM targets	TROAP	NA
DREAM targets	SHCBP1	NA
DREAM targets	SPAG5	NA
DREAM targets	BRCA1	NA
DREAM targets	FAM83D	NA
DREAM targets	PBK	NA
DREAM targets	KIF15	NA
DREAM targets	GINS3	NA
DREAM targets	PRR11	NA
DREAM targets	RAD51AP1	NA
DREAM targets	CENPO	NA
DREAM targets	HAUS8	NA
DREAM targets	MCM5	NA
DREAM targets	H2AFX	NA
DREAM targets	KIFC1	NA
DREAM targets	RAD54L	NA
DREAM targets	KIAA1524	NA
DREAM targets	BORA	NA
DREAM targets	RFC5	NA
DREAM targets	SCLT1	NA
DREAM targets	SPDL1	NA
DREAM targets	UBE2T	NA
DREAM targets	CENPN	NA
DREAM targets	DIAPH3	NA
DREAM targets	MDC1	NA
DREAM targets	RRM2	NA
DREAM targets	BLM	NA
DREAM targets	NEIL3	NA
DREAM targets	NUP35	NA
DREAM targets	OIP5	NA
DREAM targets	PIF1	NA
DREAM targets	RAD51	NA
DREAM targets	CASC5	NA
DREAM targets	CDK1	NA
DREAM targets	NDC1	NA
DREAM targets	ESCO2	NA
DREAM targets	EXOSC8	NA
DREAM targets	FANCD2	NA
DREAM targets	KNTC1	NA
DREAM targets	ORC1	NA
DREAM targets	RBL1	NA
DREAM targets	TRAIP	NA
DREAM targets	WDR62	NA
DREAM targets	ZGRF1	NA
DREAM targets	CDC45	NA
DREAM targets	GSG2	NA
DREAM targets	MIS18BP1	NA
DREAM targets	PFAS	NA
DREAM targets	CDC6	NA
DREAM targets	UBE2S	NA
DREAM targets	CKS1B	NA
DREAM targets	CENPU	NA
DREAM targets	FEN1	NA
DREAM targets	IQGAP3	NA
DREAM targets	MNS1	NA
DREAM targets	CENPM	NA
DREAM targets	DDIAS	NA
DREAM targets	RTKN2	NA
DREAM targets	ZWINT	NA
DREAM targets	GINS1	NA
DREAM targets	SMC2	NA
DREAM targets	TOP2A	NA
DREAM targets	RNF26	NA
DREAM targets	CENPQ	NA
DREAM targets	DBF4B	NA
DREAM targets	FANCG	NA
DREAM targets	USP37	NA
DREAM targets	BRCA2	NA
DREAM targets	INTS7	NA
DREAM targets	MCM8	NA
DREAM targets	PSMC3IP	NA
DREAM targets	XRCC2	NA
DREAM targets	C1orf112	NA
DREAM targets	CCDC77	NA
DREAM targets	CENPH	NA
DREAM targets	CENPK	NA
DREAM targets	CEP152	NA
DREAM targets	TK1	NA
DREAM targets	PTTG1	NA
DREAM targets	YEATS4	NA
DREAM targets	DDX11	NA
DREAM targets	HAT1	NA
DREAM targets	LSM5	NA
DREAM targets	ATAD5	NA
DREAM targets	C5orf34	NA
DREAM targets	EME1	NA
DREAM targets	FAM111A	NA
DREAM targets	FANCM	NA
DREAM targets	KIF24	NA
DREAM targets	RQCD1	NA
DREAM targets	SASS6	NA
DREAM targets	E2F2	NA
DREAM targets	KIAA0101	NA
DREAM targets	METTL4	NA
DREAM targets	ARHGAP11B	NA
DREAM targets	CHEK2	NA
DREAM targets	GMNN	NA
DREAM targets	RRM1	NA
DREAM targets	DNA2	NA
DREAM targets	FANCB	NA
DREAM targets	ORC6	NA
DREAM targets	POC1A	NA
DREAM targets	HELLS	NA
DREAM targets	HIST1H3B	NA
DREAM targets	HIST1H2AL	NA
DREAM targets	MTF2	NA
DREAM targets	C14orf80	NA
DREAM targets	C17orf53	NA
DREAM targets	C19orf40	NA
DREAM targets	C19orf48	NA
DREAM targets	DARS2	NA
DREAM targets	HMGB1	NA
DREAM targets	MTFR2	NA
DREAM targets	MZT1	NA
DREAM targets	PARPBP	NA
DREAM targets	POC5	NA
DREAM targets	SKA2	NA
DREAM targets	TMEM194A	NA
DREAM targets	TTI1	NA
DREAM targets	TTF2	NA
DREAM targets	HIST1H2BF	NA
DREAM targets	HIST1H3F	NA
DREAM targets	NUCKS1	NA
DREAM targets	NUDCD2	NA
DREAM targets	NOP58	NA
DREAM targets	NUP107	NA
DREAM targets	PCNT	NA
DREAM targets	WBP11	NA
DREAM targets	NPAT	NA
DREAM targets	HIST1H2AH	NA
DREAM targets	MSH5-SAPCD1	NA
DREAM targets	IFT80	NA
DREAM targets	RTTN	NA
DREAM targets	SAE1	NA
DREAM targets	SNRPA	NA
DREAM targets	HIST1H2BL	NA
DREAM targets	CCDC34	NA
DREAM targets	CENPP	NA
DREAM targets	FAM76B	NA
DREAM targets	RDM1	NA
DREAM targets	ZNF684	NA
DREAM targets	BRD8	NA
DREAM targets	AC004381.6	NA
DREAM targets	MRE11A	NA
DREAM targets	SETD8	NA
DREAM targets	XRCC4	NA
DREAM targets	AFMID	NA
DREAM targets	DLEU1	NA
DREAM targets	FOXRED1	NA
DREAM targets	LOC642846	NA
DREAM targets	LSM3	NA
DREAM targets	NFATC2IP	NA
DREAM targets	NUDT1	NA
DREAM targets	PPIH	NA
DREAM targets	SNRPB	NA
DREAM targets	SRSF1	NA
DREAM targets	APOBEC3B	NA
DREAM targets	RAPGEF6	NA
DREAM targets	DCLRE1C	NA
DREAM targets	FAM110A	NA
DREAM targets	HIST1H2AG	NA
DREAM targets	DZIP3	NA
DREAM targets	PCNA	NA
DREAM targets	KIF23	NA
DREAM targets	ANLN	NA
DREAM targets	CENPA	NA
DREAM targets	MKI67	NA
DREAM targets	MELK	NA
DREAM targets	TRIP13	NA
DREAM targets	UBE2C	NA
DREAM targets	MCM2	NA
DREAM targets	MCM3	NA
DREAM targets	FOXM1	NA
DREAM targets	MASTL	NA
DREAM targets	TIPIN	NA
DREAM targets	CDCA5	NA
DREAM targets	ARHGEF39	NA
DREAM targets	MCM4	NA
DREAM targets	TCF19	NA
DREAM targets	DSN1	NA
DREAM targets	NCAPD3	NA
DREAM targets	NCAPG	NA
DREAM targets	NCAPG2	NA
DREAM targets	RFC4	NA
DREAM targets	SLBP	NA
DREAM targets	BARD1	NA
DREAM targets	BRIP1	NA
DREAM targets	DBF4	NA
DREAM targets	NCAPD2	NA
DREAM targets	RAD21	NA
DREAM targets	RMI1	NA
DREAM targets	USP1	NA
DREAM targets	DUT	NA
DREAM targets	C4orf46	NA
DREAM targets	DCK	NA
DREAM targets	MIS18A	NA
DREAM targets	CDC25B	NA
DREAM targets	HMGB2	NA
DREAM targets	UNG	NA
DREAM targets	KIF22	NA
DREAM targets	DCLRE1A	NA
DREAM targets	KIF20B	NA
DREAM targets	POLE2	NA
DREAM targets	FANCI	NA
DREAM targets	MND1	NA
DREAM targets	RAD18	NA
DREAM targets	RNASEH2A	NA
DREAM targets	TIMELESS	NA
DREAM targets	ANKRD32	NA
DREAM targets	POLD1	NA
DREAM targets	RIF1	NA
DREAM targets	SPC24	NA
DREAM targets	STMN1	NA
DREAM targets	CKS2	NA
DREAM targets	CLSPN	NA
DREAM targets	DCLRE1B	NA
DREAM targets	NIF3L1	NA
DREAM targets	POLA2	NA
DREAM targets	POLQ	NA
DREAM targets	EXOSC9	NA
DREAM targets	ZWILCH	NA
DREAM targets	CTDSPL2	NA
DREAM targets	H2AFZ	NA
DREAM targets	LIN54	NA
DREAM targets	MMS22L	NA
DREAM targets	RFWD3	NA
DREAM targets	SMC3	NA
DREAM targets	SNRNP40	NA
DREAM targets	TOE1	NA
DREAM targets	ASF1B	NA
DREAM targets	CKAP5	NA
DREAM targets	CDC7	NA
DREAM targets	DSCC1	NA
DREAM targets	TAF1A	NA
DREAM targets	ZNF367	NA
DREAM targets	CEP295	NA
DREAM targets	MTHFD1	NA
DREAM targets	RHNO1	NA
DREAM targets	BCL2L12	NA
DREAM targets	GEN1	NA
DREAM targets	MTBP	NA
DREAM targets	NUP155	NA
DREAM targets	NUP85	NA
DREAM targets	HIST1H4C	NA
DREAM targets	ARL6IP1	NA
DREAM targets	C2orf69	NA
DREAM targets	LIN9	NA
DREAM targets	ABCE1	NA
DREAM targets	BAZ1B	NA
DREAM targets	SPATA5	NA
DREAM targets	CKAP2	NA
DREAM targets	DHFR	NA
DREAM targets	NASP	NA
DREAM targets	RAD1	NA
DREAM targets	ITGB3BP	NA
DREAM targets	PRIM2	NA
DREAM targets	CACYBP	NA
DREAM targets	CMC2	NA
DREAM targets	ERI1	NA
DREAM targets	NUP205	NA
DREAM targets	ORC3	NA
DREAM targets	PRKDC	NA
DREAM targets	SLC25A40	NA
DREAM targets	ZNF473	NA
DREAM targets	NET1	NA
DREAM targets	RPA2	NA
DREAM targets	KPNB1	NA
DREAM targets	MXD3	NA
DREAM targets	NUP43	NA
DREAM targets	CEP57	NA
DREAM targets	CEP78	NA
DREAM targets	HNRNPA0	NA
DREAM targets	RSRC1	NA
DREAM targets	SP4	NA
DREAM targets	SFPQ	NA
DREAM targets	DDX10	NA
DREAM targets	TBC1D31	NA
DREAM targets	WEE1	NA
DREAM targets	DNMT3B	NA
DREAM targets	HIST1H3D	NA
DREAM targets	HIST1H4A	NA
DREAM targets	TCERG1	NA
DREAM targets	TMEM97	NA
DREAM targets	ZRANB3	NA
DREAM targets	BRIX1	NA
DREAM targets	CCHCR1	NA
DREAM targets	CWF19L1	NA
DREAM targets	DCAF16	NA
DREAM targets	GGH	NA
DREAM targets	HNRNPAB	NA
DREAM targets	ING1	NA
DREAM targets	MIIP	NA
DREAM targets	POP7	NA
DREAM targets	RMI2	NA
DREAM targets	SFR1	NA
DREAM targets	SMC6	NA
DREAM targets	SRSF2	NA
DREAM targets	UCHL5	NA
DREAM targets	CDKN2D	NA
DREAM targets	AHCTF1	NA
DREAM targets	HIST1H3G	NA
DREAM targets	ZNF551	NA
DREAM targets	CCDC18	NA
DREAM targets	DDX21	NA
DREAM targets	HAUS5	NA
DREAM targets	HEATR1	NA
DREAM targets	KHSRP	NA
DREAM targets	NCBP1	NA
DREAM targets	TRIM37	NA
DREAM targets	ZNF530	NA
DREAM targets	CCDC15	NA
DREAM targets	CSE1L	NA
DREAM targets	HIST1H2AE	NA
DREAM targets	APITD1	NA
DREAM targets	CHCHD3	NA
DREAM targets	LRR1	NA
DREAM targets	MUTYH	NA
DREAM targets	PEX3	NA
DREAM targets	SLC3A2	NA
DREAM targets	TCP1	NA
DREAM targets	BUB3	NA
DREAM targets	HIST1H2AC	NA
DREAM targets	RANGAP1	NA
DREAM targets	POU2F1	NA
DREAM targets	ALG10	NA
DREAM targets	HINT3	NA
DREAM targets	HIST1H2AJ	NA
DREAM targets	HIST1H2BO	NA
DREAM targets	HNRNPA3	NA
DREAM targets	NUP88	NA
DREAM targets	SUPT16H	NA
DREAM targets	CUL3	NA
DREAM targets	DOLPP1	NA
DREAM targets	GGCT	NA
DREAM targets	GINS4	NA
DREAM targets	GTF3C2	NA
DREAM targets	HIST1H2AI	NA
DREAM targets	HIST1H3C	NA
DREAM targets	HNRNPA1	NA
DREAM targets	KAT7	NA
DREAM targets	METTL2B	NA
DREAM targets	MIS12	NA
DREAM targets	MSH3	NA
DREAM targets	PALB2	NA
DREAM targets	PIM1	NA
DREAM targets	R3HDM1	NA
DREAM targets	SEC22C	NA
DREAM targets	HIST1H2AM	NA
DREAM targets	LARP7	NA
DREAM targets	DCP2	NA
DREAM targets	HIST1H2BC	NA
DREAM targets	KCTD9	NA
DREAM targets	OARD1	NA
DREAM targets	HIST1H2AD	NA
DREAM targets	TOP1	NA
DREAM targets	RAD51C	NA
DREAM targets	AEN	NA
DREAM targets	E2F8	NA
DREAM targets	CHAF1A	NA
DREAM targets	MCM10	NA
DREAM targets	ARL6IP6	NA
DREAM targets	AUNIP	NA
DREAM targets	POLA1	NA
DREAM targets	GINS2	NA
DREAM targets	ARL13B	NA
DREAM targets	MRTO4	NA
DREAM targets	CDK2	NA
DREAM targets	FAM111B	NA
DREAM targets	NOLC1	NA
DREAM targets	POLR1E	NA
DREAM targets	CBX3	NA
DREAM targets	CENPJ	NA
DREAM targets	DNAJC9	NA
DREAM targets	POLE3	NA
DREAM targets	WRAP53	NA
DREAM targets	VRK1	NA
DREAM targets	CMSS1	NA
DREAM targets	NEDD1	NA
DREAM targets	SRSF7	NA
DREAM targets	TDP1	NA
DREAM targets	HIRIP3	NA
DREAM targets	C1orf174	NA
DREAM targets	HLTF	NA
DREAM targets	LIN52	NA
DREAM targets	TAF5	NA
DREAM targets	CEP135	NA
DREAM targets	HNRNPA2B1	NA
DREAM targets	MED30	NA
DREAM targets	HIST2H2AC	NA
DREAM targets	REEP4	NA
DREAM targets	CISD2	NA
DREAM targets	PIGK	NA
DREAM targets	H2AFV	NA
DREAM targets	CREBZF	NA
DREAM targets	HIST1H2BH	NA
DREAM targets	HIST1H2BM	NA
DREAM targets	GTPBP3	NA
DREAM targets	NUP93	NA
DREAM targets	RAD9A	NA
DREAM targets	SP1	NA
DREAM targets	GPD2	NA
DREAM targets	HIST1H2AK	NA
DREAM targets	ACTL6A	NA
DREAM targets	DDX20	NA
DREAM targets	FUS	NA
DREAM targets	GRWD1	NA
DREAM targets	HMBS	NA
DREAM targets	ORC2	NA
DREAM targets	XRCC1	NA
DREAM targets	AAAS	NA
DREAM targets	ATAD3B	NA
DREAM targets	ATF4	NA
DREAM targets	INIP	NA
DREAM targets	MARCKS	NA
DREAM targets	RDX	NA
